TITLE = "IJ-Ordered Data with Cell-Centered Variables"
VARIABLES = "X", "Y", "Temperature" 
ZONE I=9, J=9, DATAPACKING=BLOCK, VARLOCATION=(3=CELLCENTERED)
0.000000 0.125000 0.250000 0.375000 0.500000 0.625000 0.750000 0.875000 1.000000 
0.000000 0.125000 0.250000 0.375000 0.500000 0.625000 0.750000 0.875000 1.000000 
0.000000 0.125000 0.250000 0.375000 0.500000 0.625000 0.750000 0.875000 1.000000 
0.000000 0.125000 0.250000 0.375000 0.500000 0.625000 0.750000 0.875000 1.000000 
0.000000 0.125000 0.250000 0.375000 0.500000 0.625000 0.750000 0.875000 1.000000 
0.000000 0.125000 0.250000 0.375000 0.500000 0.625000 0.750000 0.875000 1.000000 
0.000000 0.125000 0.250000 0.375000 0.500000 0.625000 0.750000 0.875000 1.000000 
0.000000 0.125000 0.250000 0.375000 0.500000 0.625000 0.750000 0.875000 1.000000 
0.000000 0.125000 0.250000 0.375000 0.500000 0.625000 0.750000 0.875000 1.000000 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.125000 0.125000 0.125000 0.125000 0.125000 0.125000 0.125000 0.125000 0.125000 
0.250000 0.250000 0.250000 0.250000 0.250000 0.250000 0.250000 0.250000 0.250000 
0.375000 0.375000 0.375000 0.375000 0.375000 0.375000 0.375000 0.375000 0.375000 
0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 0.500000 
0.625000 0.625000 0.625000 0.625000 0.625000 0.625000 0.625000 0.625000 0.625000 
0.750000 0.750000 0.750000 0.750000 0.750000 0.750000 0.750000 0.750000 0.750000 
0.875000 0.875000 0.875000 0.875000 0.875000 0.875000 0.875000 0.875000 0.875000 
1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
0.831945 0.694858 0.593285 0.516321 0.458089 0.415109 0.385362 0.367872 
0.757436 0.642874 0.552114 0.481646 0.427961 0.388419 0.361416 0.346614 
0.655765 0.560539 0.483935 0.423982 0.378226 0.344583 0.321649 0.308855 
0.542935 0.463024 0.400311 0.351946 0.315386 0.288625 0.270214 0.259182 
0.424183 0.358339 0.309184 0.272479 0.245274 0.225489 0.211559 0.202133 
0.301970 0.251470 0.216210 0.190960 0.172703 0.159490 0.149772 0.141916 
0.178376 0.146697 0.125979 0.111631 0.101456 0.094075 0.088247 0.082255 
0.056579 0.049267 0.042718 0.037834 0.034285 0.031638 0.029373 0.026520 
